"","pathway","pval","padj","log2err","ES","NES","size"
"1","BIOCARTA_41BB_PATHWAY",0.0489236790606654,0.183799547216147,0.287857117255149,0.59836504562583,1.54402360254821,15
"2","BIOCARTA_AGR_PATHWAY",0.206439393939394,0.478859417418739,0.130777137971974,0.394622642622901,1.20832951934142,31
"3","BIOCARTA_AKT_PATHWAY",0.0749063670411985,0.250348432055749,0.224966093540314,0.534562679842452,1.4828400542329,19
"4","BIOCARTA_ARENRF2_PATHWAY",0.186440677966102,0.449861036032347,0.138022242496643,0.466387635970961,1.27490776710755,18
"5","BIOCARTA_ARF_PATHWAY",0.0567514677103718,0.204390624310286,0.266350657088526,0.585020996956652,1.50959056497461,15
"6","BIOCARTA_AT1R_PATHWAY",0.879310344827586,1,0.0495901956956338,0.240697296558539,0.698043597723827,25
"7","BIOCARTA_ATM_PATHWAY",0.0153108333453758,0.0759988515278241,0.380730400722792,0.60880044077791,1.61686421707526,17
"8","BIOCARTA_ATRBRCA_PATHWAY",0.497175141242938,0.831228246615592,0.0762797180809272,0.350527644331601,0.958195247637515,18
"9","BIOCARTA_BAD_PATHWAY",0.358208955223881,0.684958441326303,0.0937465422491719,0.376899130978193,1.07069751205267,21
"10","BIOCARTA_BARRESTIN_SRC_PATHWAY",0.5146771037182,0.845730129265927,0.0764767053228531,0.366155625942121,0.954103598654025,16
"11","BIOCARTA_BCELLSURVIVAL_PATHWAY",0.0262032234498761,0.113586823823445,0.352487857583619,0.61517139630364,1.60297207366985,16
"12","BIOCARTA_BCR_PATHWAY",0.0338850246514629,0.137550227186871,0.321775918075361,0.514061065336785,1.57404845262289,31
"13","BIOCARTA_BIOPEPTIDES_PATHWAY",0.984732824427481,1,0.0442407423477375,0.19591089681813,0.578554036430861,27
"14","BIOCARTA_CALCINEURIN_PATHWAY",0.222222222222222,0.503283425269241,0.127505315300183,0.456459043920833,1.21227293090153,17
"15","BIOCARTA_CARDIACEGF_PATHWAY",0.00834328258249536,0.0502695893964186,0.380730400722792,0.629106597302498,1.6707937080411,17
"16","BIOCARTA_CASPASE_PATHWAY",0.00364796224195302,0.027449168762343,0.431707695803346,0.642258664614093,1.84841973388429,22
"17","BIOCARTA_CCR3_PATHWAY",0.712830957230143,1,0.062249042949858,-0.301855141686631,-0.812123742304532,16
"18","BIOCARTA_CCR5_PATHWAY",0.11545988258317,0.335798100515765,0.183023938384487,0.527165212212338,1.37365150340886,16
"19","BIOCARTA_CDMAC_PATHWAY",0.234833659491194,0.523187548354799,0.12384217120105,0.472963904522765,1.22043798693608,15
"20","BIOCARTA_CELLCYCLE_PATHWAY",0.130019120458891,0.357926199424189,0.169570644405628,0.470590318176555,1.3524191271943,23
"21","BIOCARTA_CERAMIDE_PATHWAY",0.123827392120075,0.346861525295415,0.172324344900946,0.48099732303714,1.38430976930701,22
"22","BIOCARTA_CHEMICAL_PATHWAY",0.198830409356725,0.468008678534994,0.135740943810425,0.47189382422818,1.25326492483878,17
"23","BIOCARTA_CK1_PATHWAY",0.759674134419552,1,0.059221919380382,-0.296716273998401,-0.785012183125723,15
"24","BIOCARTA_CREB_PATHWAY",0.986984815618221,1,0.0499913914024592,-0.179171614667674,-0.509802479543839,20
"25","BIOCARTA_CSK_PATHWAY",0.0147852236828449,0.0757173017380618,0.380730400722792,0.636740744415052,1.65917602410969,16
"26","BIOCARTA_CTCF_PATHWAY",0.000227823517520379,0.00325753626544064,0.518848077743792,0.700718193593852,2.01377854831647,23
"27","BIOCARTA_CXCR4_PATHWAY",0.50374531835206,0.834927361559297,0.0753093764172773,0.340293494417935,0.943950714753433,19
"28","BIOCARTA_DEATH_PATHWAY",0.012336311433583,0.0683042795079932,0.380730400722792,0.523269770011142,1.5968799397832,30
"29","BIOCARTA_ECM_PATHWAY",0.0739371534195934,0.24853260693323,0.224966093540314,0.534780848614623,1.50668255360976,20
"30","BIOCARTA_EDG1_PATHWAY",0.266173752310536,0.565972391988135,0.11146266692298,0.409109951887302,1.15261948630647,20
"31","BIOCARTA_EGF_PATHWAY",0.212765957446809,0.487631069937901,0.130105630751129,0.411221418113452,1.2249828079073,28
"32","BIOCARTA_EICOSANOID_PATHWAY",0.00694835835788835,0.0435067144239022,0.407017918923954,0.631796449121872,1.78001267208897,20
"33","BIOCARTA_EIF4_PATHWAY",0.669776119402985,0.969277167039595,0.0610363728309177,0.294651258980368,0.837047220285896,21
"34","BIOCARTA_EPO_PATHWAY",0.203327171903882,0.475163815070986,0.130105630751129,0.445441719445567,1.25497999615579,20
"35","BIOCARTA_ERK_PATHWAY",0.0670498084291188,0.23357715081853,0.241339976815091,0.510724009003074,1.48114511374139,25
"36","BIOCARTA_ETS_PATHWAY",0.311890838206628,0.626583155742676,0.104732821580651,0.424215844103563,1.12664080494259,17
"37","BIOCARTA_FAS_PATHWAY",0.0187009882278412,0.0878213074621172,0.352487857583619,0.529106459212262,1.56253012288067,27
"38","BIOCARTA_FCER1_PATHWAY",0.00498154845749066,0.0336079114244792,0.407017918923954,0.529869488667855,1.68656914597671,37
"39","BIOCARTA_FMLP_PATHWAY",0.0473484848484848,0.181439393939394,0.287857117255149,0.49239733616411,1.50771438906188,31
"40","BIOCARTA_G1_PATHWAY",0.0164798456848352,0.0805494498268986,0.352487857583619,0.545797339575542,1.58286089620764,25
"41","BIOCARTA_G2_PATHWAY",0.272388059701493,0.573511563063802,0.110564716336619,0.406106717897471,1.15367061566893,21
"42","BIOCARTA_GCR_PATHWAY",0.140900195694716,0.378101925701788,0.16440575583821,0.511485681426486,1.33279484113719,16
"43","BIOCARTA_GH_PATHWAY",0.102316602316602,0.308013825255205,0.193813302725311,0.471979506870559,1.38277673351366,26
